Resume_str,Category
"Channel sales manager with expertise in distributor management, partner programs, incentive structures, market penetration, and indirect sales strategies.",Sales
"Web developer with experience in JavaScript, jQuery, SASS, Webpack, accessibility standards, SEO optimization, and mobile-first design.",Web Designing
"Certified accountant with expertise in financial reporting, GAAP, tax preparation, auditing, budgeting, financial analysis, QuickBooks, SAP, Excel.",Accountant
"Backend Python engineer skilled in asyncio, aiohttp, SQLite, MongoDB, GraphQL, AWS Lambda, serverless architecture, and code optimization.",Python Developer
"Sales operations analyst skilled in CRM data management, sales reporting, pipeline analytics, forecasting models, and process optimization.",Sales
"Audit associate experienced in internal audits, risk assessment, internal controls, SOX compliance, audit planning, and financial statement review.",Accountant
"Litigation attorney experienced in civil disputes, arbitration, discovery, depositions, trial preparation, and appellate court arguments.",Advocate
"Inside sales specialist with expertise in outbound calling, email campaigns, HubSpot CRM, lead qualification, objection handling, and quota achievement.",Sales
"Java developer with expertise in Spring Boot, Hibernate, REST APIs, microservices, Maven, JUnit, MySQL, Docker, Kubernetes, CI/CD pipelines.",Java Developer
"Data scientist with 5 years experience. Skills: Python, R, machine learning, neural networks, data visualization, matplotlib, seaborn, Jupyter notebooks, feature engineering, model evaluation, A/B testing.",Data Science
"Compensation and benefits analyst skilled in salary benchmarking, job evaluation, benefits administration, ESOP, health insurance, and total rewards design.",HR
"Machine learning engineer proficient in Python, scikit-learn, XGBoost, LightGBM, feature selection, hyperparameter tuning, MLflow, Docker, AWS SageMaker.",Data Science
"Scientific Python developer with skills in NumPy, SciPy, Matplotlib, Jupyter, simulation modeling, and numerical computing for research.",Python Developer
"Accounts manager with expertise in client billing, invoice processing, collections, reconciliations, financial reporting, and ERP administration.",Accountant
"Tax consultant with expertise in GST, income tax, TDS, tax planning, audit representation, tax compliance, and financial advisory services.",Accountant
"HR operations specialist with expertise in HRIS, SAP SuccessFactors, Workday, payroll processing, compliance reporting, and HR data analytics.",HR
"Java full-stack developer proficient in Spring Boot, React, MySQL, REST APIs, JWT authentication, unit testing, and agile sprints.",Java Developer
"UI/UX designer with proficiency in Figma, Adobe Illustrator, Sketch, wireframing, prototyping, user research, usability testing, HTML5, CSS3.",Web Designing
"Learning and development manager with experience in training needs analysis, e-learning platforms, LMS administration, and leadership development programs.",HR
"HR specialist experienced in applicant tracking systems, job postings, resume screening, background checks, new hire orientation, HR policies.",HR
"Python security engineer experienced in vulnerability scanning, penetration testing scripts, cryptography libraries, and secure coding practices.",Python Developer
"HR business partner with experience in organizational development, change management, succession planning, employee engagement surveys, and leadership coaching.",HR
"Machine learning ops engineer skilled in MLflow, Kubeflow, model deployment, Docker, Kubernetes, CI/CD pipelines, monitoring, and model versioning.",Data Science
"Sales representative experienced in retail sales, customer service, product demonstrations, closing deals, upselling, and market expansion.",Sales
"Motion designer proficient in CSS animations, GSAP, Lottie, After Effects, interaction design, micro-animations, and performance-aware web animations.",Web Designing
"Corporate counsel with expertise in contract drafting, legal due diligence, employment law, data privacy, GDPR compliance, and risk management.",Advocate
"Java architect with experience in distributed systems, event-driven architecture, CQRS, microservices design, API gateway, and cloud-native development.",Java Developer
"Financial analyst with skills in financial modeling, DCF valuation, Excel, PowerPoint, investment analysis, equity research, and market forecasting.",Accountant
