Resume_str,Category,cleaned_resume,label
"Data scientist with 5 years experience. Skills: Python, R, machine learning, neural networks, data visualization, matplotlib, seaborn, Jupyter notebooks, feature engineering, model evaluation, A/B testing.",Data Science,data scientist years experience skills python machine learning neural networks data visualization matplotlib seaborn jupyter notebooks feature engineering model evaluation testing,2
"Compensation and benefits analyst skilled in salary benchmarking, job evaluation, benefits administration, ESOP, health insurance, and total rewards design.",HR,compensation benefits analyst skilled salary benchmarking job evaluation benefits administration esop health insurance total rewards design,3
"Machine learning engineer proficient in Python, scikit-learn, XGBoost, LightGBM, feature selection, hyperparameter tuning, MLflow, Docker, AWS SageMaker.",Data Science,machine learning engineer proficient python scikit learn xgboost lightgbm feature selection hyperparameter tuning mlflow docker aws sagemaker,2
"Scientific Python developer with skills in NumPy, SciPy, Matplotlib, Jupyter, simulation modeling, and numerical computing for research.",Python Developer,scientific python developer skills numpy scipy matplotlib jupyter simulation modeling numerical computing research,5
"Accounts manager with expertise in client billing, invoice processing, collections, reconciliations, financial reporting, and ERP administration.",Accountant,accounts manager expertise client billing invoice processing collections reconciliations financial reporting erp administration,0
"Tax consultant with expertise in GST, income tax, TDS, tax planning, audit representation, tax compliance, and financial advisory services.",Accountant,tax consultant expertise gst income tax tds tax planning audit representation tax compliance financial advisory services,0
"HR operations specialist with expertise in HRIS, SAP SuccessFactors, Workday, payroll processing, compliance reporting, and HR data analytics.",HR,hr operations specialist expertise hris sap successfactors workday payroll processing compliance reporting hr data analytics,3
"Java full-stack developer proficient in Spring Boot, React, MySQL, REST APIs, JWT authentication, unit testing, and agile sprints.",Java Developer,java full stack developer proficient spring boot react mysql rest apis jwt authentication unit testing agile sprints,4
"UI/UX designer with proficiency in Figma, Adobe Illustrator, Sketch, wireframing, prototyping, user research, usability testing, HTML5, CSS3.",Web Designing,ui ux designer proficiency figma adobe illustrator sketch wireframing prototyping user research usability testing html5 css3,7
"Learning and development manager with experience in training needs analysis, e-learning platforms, LMS administration, and leadership development programs.",HR,learning development manager experience training needs analysis learning platforms lms administration leadership development programs,3
"HR specialist experienced in applicant tracking systems, job postings, resume screening, background checks, new hire orientation, HR policies.",HR,hr specialist experienced applicant tracking systems job postings resume screening background checks new hire orientation hr policies,3
"Python security engineer experienced in vulnerability scanning, penetration testing scripts, cryptography libraries, and secure coding practices.",Python Developer,python security engineer experienced vulnerability scanning penetration testing scripts cryptography libraries secure coding practices,5
"HR business partner with experience in organizational development, change management, succession planning, employee engagement surveys, and leadership coaching.",HR,hr business partner experience organizational development change management succession planning employee engagement surveys leadership coaching,3
"Machine learning ops engineer skilled in MLflow, Kubeflow, model deployment, Docker, Kubernetes, CI/CD pipelines, monitoring, and model versioning.",Data Science,machine learning ops engineer skilled mlflow kubeflow model deployment docker kubernetes ci cd pipelines monitoring model versioning,2
"Sales representative experienced in retail sales, customer service, product demonstrations, closing deals, upselling, and market expansion.",Sales,sales representative experienced retail sales customer service product demonstrations closing deals upselling market expansion,6
"Motion designer proficient in CSS animations, GSAP, Lottie, After Effects, interaction design, micro-animations, and performance-aware web animations.",Web Designing,motion designer proficient css animations gsap lottie effects interaction design micro animations performance aware web animations,7
"Corporate counsel with expertise in contract drafting, legal due diligence, employment law, data privacy, GDPR compliance, and risk management.",Advocate,corporate counsel expertise contract drafting legal due diligence employment law data privacy gdpr compliance risk management,1
"Java architect with experience in distributed systems, event-driven architecture, CQRS, microservices design, API gateway, and cloud-native development.",Java Developer,java architect experience distributed systems event driven architecture cqrs microservices design api gateway cloud native development,4
"Financial analyst with skills in financial modeling, DCF valuation, Excel, PowerPoint, investment analysis, equity research, and market forecasting.",Accountant,financial analyst skills financial modeling dcf valuation excel powerpoint investment analysis equity research market forecasting,0
